title,price,original_price,item_url,shipping,timestamp
Canon 3680C002 Rf 24-70mm F2.8 L is USM,"$1,849.00","$2,656.99",https://www.ebay.com/itm/326389378879?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006425,,2025-03-19 15:16:05
"Sigma 24-70MM F2.8 DG DN II ART Lens, L Mount",$999.00,"$2,616.00",https://www.ebay.com/itm/286205099093?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006425,,2025-03-19 15:16:05
Sigma 23mm F1.4 DC DN Contemporary Lens for Sony E Mount with Camera Bag Bundle,$499.99,$594.00,https://www.ebay.com/itm/285307948467?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006425,,2025-03-19 15:16:05
Canon RF 28-70mm f/2.8 IS STM Lens Canon RF,$999.00,"$1,099.00",https://www.ebay.com/itm/286086611827?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006425,,2025-03-19 15:16:05
LG 55-Inch Class OLED evo G4 Series 4K TV with webOS 24,"$1,499.00","$3,199.95",https://www.ebay.com/itm/186732090674?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006413,,2025-03-19 15:16:05
Samsung Music Frame Dolby Atmos Picture Frame/Smart Speaker,$183.00,$499.99,https://www.ebay.com/itm/186849010545?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006413,,2025-03-19 15:16:05
"Aura Studio 3, Wireless speaker with beautiful Harman Kardon sound",$99.95,$299.95,https://www.ebay.com/itm/395535173196?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006413,,2025-03-19 15:16:05
LG 77-Inch Class OLED evo C4 Series TV with webOS 24,"$1,856.00","$4,199.95",https://www.ebay.com/itm/156232239135?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006413,,2025-03-19 15:16:05
STATUS Between 3ANC Wireless Earbuds (CERTIFIED REFURBISHED)  - ONYX,$82.88,$119.00,https://www.ebay.com/itm/266692431952?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006413,,2025-03-19 15:16:05
Apple Pencil (USB-C) - White Stylus  ‎‎‎MUWA3AM/A with Pixel-Perfect Precision,$48.88,$51.45,https://www.ebay.com/itm/296262723993?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006427,,2025-03-19 15:16:05
"Logitech Z623 400 Watt Home Speaker System, 2.1 Speaker System - Black",$95.00,$132.68,https://www.ebay.com/itm/167065352702?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006427,,2025-03-19 15:16:05
Logitech G560 PC Gaming Speaker System with 7.1 DTS:X Ultra Surround Sound,$128.00,$249.99,https://www.ebay.com/itm/167051732357?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006427,,2025-03-19 15:16:05
